rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
611,202652,1848,0011i000001xnRh,80
612,202656,1251,0011i000001xnUb,0
613,202658,2044,0011i000001xnZV,380
614,202659,1890,0011i000001xnDC,0
615,202660,1332,0011i000001xmv1,42
616,202661,860,0011i000001xmct,0
617,202665,800,0011i000001xmvI,0
618,202667,824,0011i000001xnIT,0
619,202668,713,0011i000001xn9r,8
620,202669,824,0011i000001xnIT,0
621,202670,728,0011i000001xnHf,0
622,202672,1784,0011i000001xn3S,0
623,202683,1892,0011i000001xnMk,52
624,202684,796,0011i000001xmhw,0
625,202692,796,0011i000001xmhw,0
626,202693,2051,0011i000001xnHQ,0
627,202696,740,0011i000001xmoN,0
628,202703,5,0011i000001xmrK,0
629,202812,1916,0011i000001xmrZ,195
630,202815,1467,0011i000001xmo3,224
631,202819,96,0011i000001xnVz,125
632,202829,1925,0011i000001xmhX,0
633,202837,554,0011i00000k1W9i,0
634,202841,608,0011i000001xmgJ,0
635,202842,1947,0011i000001xmyz,355
636,202844,1978,0011i000001xnFp,0
637,202846,728,0011i000001xnHf,0
638,202848,675,0011i000001xmoS,2
639,202850,586,0011i000001xmxm,0
640,202853,554,0011i00000k1W9i,0
641,202859,1161,0011i000001xn2h,0
642,202861,819,0011i000001xn0w,0
643,202871,1647,0011i000001xmoq,0
644,202873,856,0011i000001xmsY,0
645,202876,97,0011i000001xmrO,0
646,202878,458,0011i000001xmd4,323
647,202885,686,0011i000001xnbF,0
648,202887,1929,0011i000001xnBG,12
649,202924,1453,0011i000001xman,0
650,202925,2052,0011i000001xmzb,0
651,202928,1451,0011i000001xn5p,0
652,202930,2124,0011i000001xn3C,0
653,202932,724,0011i000001xmo7,0
654,202934,1920,0011i000001xnWC,129
655,202935,8,0011i000001xmk0,0
656,202939,830,0011i000001xnFg,0
657,202941,738,0011i000001xnZk,35
658,202944,1779,0011i000001xnBJ,0
659,202951,1387,0011i000001xmfm,149
660,202955,1737,0011i000001xmgp,0
661,202957,1492,0011i000001xn7y,345
662,202958,1381,0011i000001xn2D,0
663,202962,541,0011i000001xnVs,0
664,202967,1867,0011i000001xnC6,1262
665,202970,800,0011i000001xmvI,0
666,202973,921,0011i000001xmuu,0
667,202977,800,0011i000001xmvI,0
668,202978,540,0011i000001xmsr,0
669,202989,20,0011i000001xmkt,0
670,202990,2062,0011i000001xn7I,15
671,202991,640,0011i000001xnSH,0
672,202992,1797,0011i000001xmtQ,0
673,203014,842,0011i00000Xf140,0
674,203021,687,0011i000001xmvn,0
675,203023,775,0011i000001xmwm,287
676,203024,494,0011i000001xmnt,0
677,203026,17,0011i000001xmfF,0
678,203028,640,0011i000001xnSH,14
679,203031,169,0011i000001xmhG,0
680,203042,1790,0011i000001xmk5,0
681,203043,843,0011i000001xms6,0
682,203045,554,0011i00000k1W9i,0
683,203051,1126,0011i000001xnBM,0
684,203053,1234,0011i000001xnBP,679
685,203055,1172,0011i00000Xf145,22
686,203061,796,0011i000001xmhw,0
687,203065,1891,0011i000001xmxC,377
688,203072,1175,0011i000001xmqU,0
689,203077,596,0011i000001xmxb,0
690,203078,752,0011i000001xnNp,6
691,203084,1202,0011i000001xnWA,0
692,203096,447,0011i000001xmzN,7
693,203101,752,0011i000001xnNp,59
694,203105,793,0011i000001xn1t,2
695,203109,792,0011i000001xn46,0
696,203112,944,0011i000001xnDW,0
697,203115,1176,0011i000001xmvW,0
698,203132,2120,0011i000001xnHG,903
699,203146,843,0011i000001xms6,0
